Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,156,Department_Sales,Distance_Vừa,3,Life Sciences,3,Female,90,4,1,JobRole_Sales Representative,2,Single,Income_Thấp,Upto 5k,25422,1,No,15,3,4,0,1,0,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1343,Department_Sales,Distance_Xa,1,Technical Degree,3,Male,49,3,1,JobRole_Sales Representative,3,Single,Income_Thấp,Upto 5k,24444,1,No,11,3,3,0,3,2,3,Tenure_Mới,2,1,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1427,Department_Research & Development,Distance_Vừa,1,Other,4,Female,65,3,1,JobRole_Research Scientist,4,Single,Income_Thấp,Upto 5k,8870,1,No,19,3,1,0,1,3,2,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1334,Department_Research & Development,Distance_Gần,3,Life Sciences,3,Female,36,2,1,JobRole_Laboratory Technician,1,Single,Income_Thấp,Upto 5k,17258,1,No,13,3,1,0,1,6,2,Tenure_Mới,0,1,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,984,Department_Research & Development,Distance_Gần,1,Technical Degree,4,Female,70,2,1,JobRole_Research Scientist,2,Single,Income_Thấp,Upto 5k,25326,1,Yes,11,3,3,0,2,6,4,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,251,Department_Research & Development,Distance_Gần,2,Life Sciences,1,Female,45,2,1,JobRole_Laboratory Technician,3,Single,Income_Thấp,Upto 5k,25308,1,No,20,4,3,0,2,2,1,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,546,Department_Research & Development,Distance_Gần,1,Medical,3,Male,97,3,1,JobRole_Research Scientist,4,Single,Income_Thấp,Upto 5k,26009,1,No,18,3,3,0,3,2,3,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,337,Department_Sales,Distance_Gần,1,Marketing,2,Male,31,3,1,JobRole_Sales Representative,2,Single,Income_Thấp,Upto 5k,4567,1,No,13,3,2,0,1,3,3,Tenure_Mới,0,1,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,501,Department_Sales,Distance_Gần,1,Medical,3,Male,58,3,1,JobRole_Sales Representative,1,Single,Income_Thấp,Upto 5k,25479,1,Yes,11,3,4,0,2,6,3,Tenure_Mới,2,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,1123,Department_Research & Development,Distance_Vừa,2,Medical,4,Male,96,4,1,JobRole_Laboratory Technician,4,Divorced,Income_Thấp,Upto 5k,7324,1,Yes,13,3,2,2,1,2,2,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,534,Department_Research & Development,Distance_Vừa,3,Medical,2,Female,59,3,1,JobRole_Laboratory Technician,4,Single,Income_Thấp,Upto 5k,23785,1,No,15,3,3,0,1,5,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,594,Department_Research & Development,Distance_Gần,1,Technical Degree,3,Male,100,3,1,JobRole_Laboratory Technician,4,Married,Income_Thấp,Upto 5k,19299,0,No,14,3,3,1,3,2,3,Tenure_Mới,1,2,1.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1256,Department_Research & Development,Distance_Vừa,1,Medical,3,Male,80,3,1,JobRole_Research Scientist,4,Married,Income_Thấp,Upto 5k,11992,1,No,24,4,1,2,2,6,3,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,253,Department_Research & Development,Distance_Vừa,3,Medical,1,Female,43,3,1,JobRole_Research Scientist,2,Married,Income_Thấp,Upto 5k,24440,1,No,13,3,4,1,2,1,3,Tenure_Mới,1,1,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,1368,Department_Research & Development,Distance_Gần,1,Technical Degree,3,Male,99,2,1,JobRole_Laboratory Technician,3,Single,Income_Trung bình,Upto 5k,9129,5,No,16,3,3,0,4,3,3,Tenure_Mới,2,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,604,Department_Research & Development,Distance_Gần,1,Medical,1,Male,69,3,1,JobRole_Research Scientist,3,Married,Income_Thấp,Upto 5k,12145,0,No,20,4,4,0,3,3,3,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1230,Department_Research & Development,Distance_Gần,2,Life Sciences,4,Male,33,2,2,JobRole_Manufacturing Director,4,Married,Income_Trung bình,Upto 5k,19146,6,No,22,4,1,2,4,2,1,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,617,Department_Research & Development,Distance_Gần,1,Life Sciences,2,Female,34,3,2,JobRole_Manufacturing Director,3,Married,Income_Trung bình,Upto 5k,10022,0,Yes,19,3,1,1,4,3,4,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,217,Department_Research & Development,Distance_Gần,1,Life Sciences,2,Male,94,1,1,JobRole_Laboratory Technician,1,Married,Income_Thấp,Upto 5k,6881,1,No,15,3,1,1,4,3,2,Tenure_Gắn bó,3,1,1.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,1256,Department_Research & Development,Distance_Gần,4,Life Sciences,3,Male,48,2,1,JobRole_Research Scientist,4,Married,Income_Thấp,Upto 5k,4223,0,Yes,11,3,2,1,1,5,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,457,Department_Research & Development,Distance_Xa,2,Other,2,Female,85,2,1,JobRole_Research Scientist,3,Married,Income_Thấp,Upto 5k,10293,1,Yes,14,3,2,0,4,2,2,Tenure_Gắn bó,2,1,3.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1294,Department_Research & Development,Distance_Gần,1,Medical,3,Female,79,3,1,JobRole_Laboratory Technician,1,Married,Income_Thấp,Upto 5k,15999,1,Yes,17,3,3,0,1,6,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,391,Department_Research & Development,Distance_Gần,1,Life Sciences,4,Male,75,3,1,JobRole_Research Scientist,2,Single,Income_Thấp,Upto 5k,26092,1,Yes,23,4,1,0,1,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,581,Department_Research & Development,Distance_Gần,2,Life Sciences,4,Male,63,3,1,JobRole_Research Scientist,3,Single,Income_Thấp,Upto 5k,17624,0,No,12,3,4,0,4,2,4,Tenure_Mới,2,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,541,Department_Sales,Distance_Gần,1,Technical Degree,3,Male,62,3,1,JobRole_Sales Representative,1,Divorced,Income_Thấp,Upto 5k,9518,3,No,13,3,3,1,3,3,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1309,Department_Research & Development,Distance_Xa,1,Life Sciences,3,Male,83,3,1,JobRole_Research Scientist,4,Divorced,Income_Thấp,Upto 5k,16092,1,No,12,3,3,2,4,2,2,Tenure_Gắn bó,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,885,Department_Research & Development,Distance_Gần,3,Medical,1,Male,58,4,1,JobRole_Research Scientist,1,Married,Income_Thấp,Upto 5k,8544,2,No,16,3,1,1,5,3,4,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,650,Department_Research & Development,Distance_Gần,1,Medical,2,Male,37,3,1,JobRole_Laboratory Technician,1,Married,Income_Thấp,Upto 5k,4344,1,No,14,3,4,1,5,2,4,Tenure_Gắn bó,3,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,310,Department_Research & Development,Distance_Gần,1,Medical,1,Male,79,4,1,JobRole_Research Scientist,3,Single,Income_Thấp,Upto 5k,19630,1,No,18,3,4,0,2,3,3,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1243,Department_Research & Development,Distance_Gần,3,Life Sciences,3,Male,63,4,1,JobRole_Laboratory Technician,1,Married,Income_Thấp,Upto 5k,3445,1,Yes,21,4,3,2,1,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,373,Department_Research & Development,Distance_Gần,2,Life Sciences,4,Male,47,3,1,JobRole_Research Scientist,3,Married,Income_Thấp,Upto 5k,16901,1,No,22,4,4,1,1,2,3,Tenure_Mới,0,0,1.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,507,Department_Research & Development,Distance_Xa,1,Life Sciences,1,Male,97,3,2,JobRole_Laboratory Technician,3,Single,Income_Thấp,Upto 5k,24812,0,No,14,3,2,0,5,2,3,Tenure_Gắn bó,3,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,977,Department_Research & Development,Distance_Gần,3,Technical Degree,4,Male,45,4,1,JobRole_Research Scientist,3,Married,Income_Thấp,Upto 5k,12826,2,No,16,3,4,1,4,2,3,Tenure_Mới,2,2,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1320,Department_Research & Development,Distance_Gần,1,Medical,4,Male,93,2,1,JobRole_Laboratory Technician,3,Single,Income_Trung bình,Upto 5k,20586,1,Yes,11,3,1,0,5,2,3,Tenure_Gắn bó,4,1,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,427,Department_Sales,Distance_Gần,3,Life Sciences,3,Male,99,3,1,JobRole_Sales Representative,4,Divorced,Income_Thấp,Upto 5k,25103,1,Yes,21,4,2,1,3,2,3,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,160,Department_Research & Development,Distance_Gần,1,Medical,3,Female,51,3,1,JobRole_Laboratory Technician,2,Single,Income_Thấp,Upto 5k,12862,1,No,13,3,3,0,3,3,1,Tenure_Mới,2,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,571,Department_Research & Development,Distance_Vừa,2,Other,4,Male,78,3,1,JobRole_Laboratory Technician,4,Single,Income_Thấp,Upto 5k,13672,1,No,13,3,3,0,5,6,4,Tenure_Gắn bó,2,1,4.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,638,Department_Sales,Distance_Gần,3,Marketing,4,Male,33,3,1,JobRole_Sales Representative,1,Married,Income_Thấp,Upto 5k,26956,1,No,19,3,1,1,1,3,2,Tenure_Mới,0,1,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,673,Department_Research & Development,Distance_Vừa,2,Other,1,Female,96,4,2,JobRole_Manufacturing Director,3,Divorced,Income_Trung bình,Upto 5k,8232,0,No,18,3,4,1,5,5,2,Tenure_Gắn bó,2,1,3.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,813,Department_Research & Development,Distance_Gần,3,Medical,2,Male,61,3,1,JobRole_Research Scientist,4,Married,Income_Thấp,Upto 5k,3020,2,Yes,16,3,1,1,6,2,2,Tenure_Mới,0,2,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1353,Department_Sales,Distance_Gần,2,Other,1,Female,33,3,2,JobRole_Sales Executive,3,Married,Income_Trung bình,Upto 5k,17519,0,No,21,4,1,1,4,2,2,Tenure_Mới,2,0,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1127,Department_Research & Development,Distance_Vừa,1,Life Sciences,2,Male,52,3,1,JobRole_Laboratory Technician,3,Married,Income_Thấp,Upto 5k,13257,0,No,12,3,3,1,6,2,3,Tenure_Gắn bó,3,1,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1371,Department_Sales,Distance_Gần,4,Marketing,4,Female,77,3,2,JobRole_Sales Executive,3,Divorced,Income_Trung bình,Upto 5k,5915,1,Yes,12,3,4,1,5,2,4,Tenure_Gắn bó,2,0,3.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,1448,Department_Sales,Distance_Gần,1,Technical Degree,1,Female,62,3,1,JobRole_Sales Representative,2,Single,Income_Thấp,Upto 5k,21972,1,Yes,16,3,2,0,6,4,3,Tenure_Gắn bó,3,1,4.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Frequently,535,Department_Sales,Distance_Xa,3,Medical,4,Male,38,3,1,JobRole_Sales Representative,4,Married,Income_Thấp,Upto 5k,5530,0,No,13,3,3,2,3,3,3,Tenure_Mới,2,2,1.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,691,Department_Research & Development,Distance_Xa,3,Medical,2,Male,89,4,1,JobRole_Research Scientist,4,Married,Income_Thấp,Upto 5k,21630,1,Yes,11,3,2,2,6,3,3,Tenure_Gắn bó,5,1,4.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,823,Department_Research & Development,Distance_Vừa,2,Other,4,Male,94,2,1,JobRole_Laboratory Technician,2,Married,Income_Thấp,Upto 5k,9100,1,No,21,4,4,1,1,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,1287,Department_Research & Development,Distance_Gần,3,Life Sciences,1,Female,55,3,1,JobRole_Laboratory Technician,3,Married,Income_Thấp,Upto 5k,14168,1,Yes,16,3,4,1,6,4,3,Tenure_Gắn bó,3,1,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,693,Department_Sales,Distance_Gần,2,Life Sciences,1,Female,65,3,2,JobRole_Sales Executive,3,Single,Income_Trung bình,Upto 5k,24785,9,No,14,3,1,0,4,3,3,Tenure_Mới,2,2,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,1092,Department_Research & Development,Distance_Gần,3,Life Sciences,3,Male,60,2,1,JobRole_Laboratory Technician,2,Divorced,Income_Thấp,Upto 5k,26551,1,No,11,3,3,3,1,4,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,1269,Department_Research & Development,Distance_Gần,1,Life Sciences,1,Male,46,2,1,JobRole_Laboratory Technician,4,Married,Income_Thấp,Upto 5k,10778,0,No,17,3,4,0,6,2,2,Tenure_Gắn bó,2,3,4.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1206,Department_Research & Development,Distance_Vừa,1,Medical,4,Female,41,2,2,JobRole_Manufacturing Director,3,Divorced,Income_Trung bình,Upto 5k,24117,1,No,15,3,2,2,5,6,3,Tenure_Gắn bó,2,3,2.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,477,Department_Research & Development,Distance_Xa,3,Medical,4,Male,49,3,1,JobRole_Laboratory Technician,2,Single,Income_Thấp,Upto 5k,6409,8,No,22,4,4,0,6,2,3,Tenure_Gắn bó,3,1,2.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,984,Department_Research & Development,Distance_Vừa,2,Life Sciences,4,Female,97,3,1,JobRole_Laboratory Technician,2,Married,Income_Thấp,Upto 5k,3372,1,No,13,3,1,1,1,3,1,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,1476,Department_Sales,Distance_Gần,1,Medical,4,Female,42,3,2,JobRole_Sales Executive,3,Married,Income_Trung bình,Upto 5k,15211,1,Yes,12,3,3,2,5,3,3,Tenure_Gắn bó,4,0,3.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Frequently,381,Department_Research & Development,Distance_Gần,3,Medical,2,Male,89,3,1,JobRole_Laboratory Technician,1,Single,Income_Thấp,Upto 5k,16998,2,Yes,11,3,3,0,4,2,2,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Non-Travel,830,Department_Sales,Distance_Vừa,2,Life Sciences,4,Female,78,3,1,JobRole_Sales Representative,2,Married,Income_Thấp,Upto 5k,7103,1,No,13,3,3,1,1,2,3,Tenure_Mới,0,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,350,Department_Research & Development,Distance_Xa,2,Technical Degree,3,Male,57,2,1,JobRole_Laboratory Technician,1,Divorced,Income_Thấp,Upto 5k,10036,0,No,14,3,2,3,2,3,3,Tenure_Mới,1,0,0.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Frequently,567,Department_Research & Development,Distance_Gần,1,Technical Degree,1,Female,32,3,1,JobRole_Research Scientist,4,Single,Income_Trung bình,Upto 5k,17218,1,Yes,13,3,3,0,6,2,3,Tenure_Gắn bó,3,1,3.0
Age_Trẻ,18-25,Status_Stay,BusinessTravel_Travel_Rarely,581,Department_Research & Development,Distance_Gần,3,Medical,3,Male,62,4,1,JobRole_Research Scientist,3,Married,Income_Trung bình,Upto 5k,17616,1,No,16,3,4,1,5,1,3,Tenure_Gắn bó,3,0,4.0
Age_Trẻ,18-25,Status_Leave,BusinessTravel_Travel_Rarely,240,Department_Human Resources,Distance_Xa,1,Human Resources,4,Male,58,1,1,JobRole_Human Resources,3,Married,Income_Thấp,Upto 5k,11585,1,No,11,3,3,1,1,2,3,Tenure_Mới,0,0,0.0
